ticket_id,subject,body,category
TCK-1069,Training session request,"We just onboarded a new team, is it possible to get a short training session on how to use the tool.",General
TCK-1070,Unsubscribe from emails,"Please remove me from your marketing email list, I keep getting promotional emails daily.",General
TCK-1071,General inquiry about company,"I wanted to know more about your company, when was it founded and where is it based.",General
TCK-1072,Career opportunities,"I am interested in job opportunities at your company, where can I check current openings.",General
TCK-1073,Media inquiry,I am a journalist writing an article on this industry and wanted a quote from your team.,General
TCK-1074,Product roadmap question,Is there any public roadmap available so we know what features are planned next.,General
TCK-1075,Comparison with competitor,How is your product different from other similar tools available in the market.,General
TCK-1076,Free trial extension,"My free trial is ending tomorrow, is it possible to extend it by a few more days.",General
TCK-1077,Account deletion request,I want to permanently delete my account and all my data from your platform.,General
TCK-1078,Data privacy question,Can you explain how my personal data is stored and whether it is shared with third parties.,General
TCK-1079,General complaint about service,"I am not very happy with the overall service quality lately, wanted to raise this as feedback.",General
